"name","label"
"sys_app_category","Menu Category"
"ts_v4_21_5","Text Index for sc_cat_item"
"cmdb_ci_appl_hp_service","HP Service Manager"
"cmdb_ci_app_server_jrun","Jrun"
"cmdb_cloud_mgmt_credentials","Cloud Mgmt Credentials"
"label_auto","Label Auto"
"sys_aw_module","Workspace Module"
"sys_ui_hp_cascading_filter","Cascading Filter"
"cmdb_ci_oslv_engine","Operating-system-level Virtualization Engine"
"cmdb_ci_cloud_storage_account","Cloud Storage Account"
"sys_table_rotation_deferred_schema","Table Rotation Deferred Schema"
"syslog_client_trans_det0006","Client Transaction Detailed Log Entry"
"sys_rte_eb_set_operation","Robust Transform Engine Entity Set Operation"
"sp_instance_carousel","Instance of Carousel"
"sys_ws_query_parameter_map","Scripted REST Query Parameter Association"
"cmdb_ci_printing_hardware","Printing Hardware"
"cmdb_ci_appl_msmq","MSMQ"
"svc_layer_config","Service Layer Configuration"
"sys_upgrade_blame","Upgrade Blame Log"
"ts_c_19_8","Text Index for sys_user_group"
"sys_export_set","Export Set"
"cmdb_ci_netapp_svm","Netapp SVM"
"cmdb_related_entry","Related Entry"
"alm_template_task","Template Task"
"syslog_email0004","Email Log Entry"
"clone_log0005","Clone Log"
"sysevent0000","Event"
"sysevent0002","Event"
"fx_currency_test","Currency Test"
"sn_appcreator_app_template","App Template"
"statemgmt_not_allow_ops","Not Allowed Operational Transitions"
"conflict","Conflict"
"cloud_mgmt_region","Cloud Mgmt Region"
"cmdb_facility_model_lifecycle","Facility Model Lifecycle"
"sla_repair_log_message0005","SLA Repair Log Message"
"cmdb_ci_lb_ckstickinesspolicy","LB Cookie Stickiness Policy"
"v_field_creator","Create Field"
"sys_declarative_action_payload_mapping","Action Payload Mapping"
"alm_consumable","Consumable"
"ts_table","Text Search Table"
"ecc_agent_ext_context","MID Server Extension Context"
"discovery_device_duplicate_ips","Device Duplicate Ips"
"jrobin_datasource","Round Robin Data Source"
"sys_sg_ui_style","UI Style"
"cmdb_ci_config_automation_server","Management Server"
"ts_c_15_7","Text Index for sqanda_answer"
"v_private_cache","Private Cache"
"sys_report_map","Report Maps"
"sys_report_olap","OLAP Cube View"
"sc_ic_task_assign_defn_staging","Task Assignment"
"wf_action","Workflow Actions"
"sys_flow_execution_setting","Setting"
"syslog_cancellation0005","Transaction Cancellation Log Entry"
"cmdb_ci_lb_nginx","Nginx Load Balancer"
"syslog_transaction0003","Transaction Log Entry"
"discovery_credentials","Credentials"
"cmdb_ci_vpn","Virtual Private Network"
"ecc_agent_scalar_metric","ECC Agent Scalar Metric"
"cab_attendee","Cab Attendee"
"cmdb_ci_ups_output","UPS Output"
"cmdb_ci_appl_ora_conc","Oracle Concurrent Server"
"sys_product_help_p2s","Page to Section"
"ts_c_8_3","Text Index for std_change_producer_version"
"cmdb_ci_endpoint_sim_inc","Simulation Inclusion Endpoint"
"sa_contextual_colors_and_icons","Contextual color and icon"
